order_id;return_comment;return_comment_date
330211126;addressee unknown;14.09.2015
331745626;addressee unknown;14.09.2015
323567438;addressee unknown;14.09.2015
331659884;addressee unknown;14.09.2015
323557692;addressee unknown;14.09.2015
329928588;addressee unknown;14.09.2015
325813963;addressee unknown;14.09.2015
323593676;addressee unknown;14.09.2015
332784599;addressee unknown;14.09.2015
323559347;addressee unknown;14.09.2015
330217381;addressee unknown;14.09.2015
331049931;addressee unknown;14.09.2015
329731992;addressee unknown;14.09.2015
329699433;addressee unknown;14.09.2015
331317895;addressee unknown;14.09.2015
331270556;addressee unknown;14.09.2015
325784092;addressee unknown;14.09.2015
325819269;addressee unknown;14.09.2015
325774232;addressee unknown;14.09.2015
302313685;addressee unknown;14.09.2015
303228966;addressee unknown;14.09.2015
331763539;addressee unknown;14.09.2015
329943576;addressee unknown;14.09.2015
328603781;addressee unknown;14.09.2015
325817840;addressee unknown;14.09.2015
325812095;addressee unknown;14.09.2015
329785061;addressee unknown;14.09.2015
325795260;addressee unknown;14.09.2015
323560008;addressee has moved;
324817817;addressee unknown;10.09.2015
328412624;addressee unknown;10.09.2015
323588615;addressee unknown;10.09.2015
320365172;addressee unknown;01.09.2015
323593027;addressee unknown;01.09.2015
323552114;addressee unknown;01.09.2015
323546974;addressee unknown;01.09.2015
323548118;addressee unknown;01.09.2015
326569054;addressee unknown;01.09.2015
330207221;addressee has moved;
323559347;addressee has moved;
325774754;addressee has moved;
325787837;addressee unknown;18.09.2015
33467993;addressee unknown;18.09.2015
334001204;addressee unknown;18.09.2015
318624161;addressee unknown;18.09.2015
332488636;addressee unknown;18.09.2015
334575813;addressee unknown;18.09.2015
333866193;addressee unknown;18.09.2015
334024249;addressee unknown;18.09.2015
334521778;addressee unknown;18.09.2015
328814107;addressee unknown;17.09.2015
333839045;addressee unknown;17.09.2015
334038008;addressee unknown;17.09.2015
325796607;addressee unknown;17.09.2015
323555651;addressee unknown;17.09.2015
333311732;addressee unknown;17.09.2015
291289003;addressee unknown;17.09.2015
332766818;addressee unknown;17.09.2015
330217737;addressee unknown;17.09.2015
330201028;addressee unknown;17.09.2015
333384306;addressee unknown;17.09.2015
333037426;addressee unknown;17.09.2015
335507561;addressee unknown;17.09.2015
333420766;addressee unknown;17.09.2015
325815774;addressee unknown;17.09.2015
334001308;addressee unknown;17.09.2015
325789515;addressee unknown;17.09.2015
333343248;addressee unknown;17.09.2015
334011432;addressee unknown;17.09.2015
330207221;addressee unknown;17.09.2015
330198877;addressee unknown;17.09.2015
331368214;addressee unknown;17.09.2015
325780771;addressee unknown;17.09.2015
325782647;addressee unknown;17.09.2015
331879707;addressee unknown;17.09.2015
334178115;addressee unknown;17.09.2015
333231935;addressee unknown;17.09.2015
331395155;addressee unknown;17.09.2015
332431417;addressee unknown;17.09.2015
325774151;addressee unknown;17.09.2015
334123299;addressee unknown;17.09.2015
301520655;addressee unknown;16.09.2015
328620235;addressee unknown;16.09.2015
332121361;addressee unknown;16.09.2015
331068973;addressee unknown;16.09.2015
332758161;addressee unknown;16.09.2015
331630013;addressee unknown;16.09.2015
330214685;addressee unknown;16.09.2015
332177864;addressee unknown;16.09.2015
325795846;addressee unknown;16.09.2015
332398421;addressee unknown;16.09.2015
333410281;addressee unknown;16.09.2015
332782206;addressee unknown;16.09.2015
323543103;addressee unknown;16.09.2015
326483272;addressee unknown;16.09.2015
323539746;addressee unknown;16.09.2015
330211357;addressee unknown;16.09.2015
323544483;addressee unknown;16.09.2015
331028080;addressee unknown;16.09.2015
323569451;addressee unknown;16.09.2015
330193543;addressee unknown;22.09.2015
291273926;addressee unknown;22.09.2015
335663513;addressee unknown;22.09.2015
336965871;addressee unknown;22.09.2015
334025085;addressee unknown;22.09.2015
332795769;addressee unknown;22.09.2015
315481705;addressee has moved;23.09.2015
334108775;addressee unknown;23.09.2015
334003178;addressee unknown;23.09.2015
337581509;addressee unknown;23.09.2015
336615290;addressee unknown;23.09.2015
331842237;addressee unknown;23.09.2015
335046872;addressee unknown;23.09.2015
334009958;addressee unknown;23.09.2015
